,How old are you?,Gender,Country,Knowledge_on_wine,Factors,Hard_liquor,Drink_wine,Purchase_wine,Alcohol_percentage,Importance_of_price,Price_range,Importance_of_wine_region,Wine_region,Characteristics,Label,Most_important_factor,Food_pairing,Recommendation,No_of_wines
14/09/2022 23:44:22,46- 60,,,3,"Wine style (red, white, etc.), Wine region, Alcohol percentage, Wine’s maturity (age), Price, Packaging",,Few times a year,Few times a year,Strongly agree,4,10 000 - 15 000,,,Always,Always,Taste,Often,Agree,
15/09/2022 00:16:18,31 - 45,,,3,Wine region,,Few times a month,Never,Disagree,3,5 000 - 10 000,,,Always,Always,Vintage,Always,Agree,
15/09/2022 06:12:12,46- 60,,,4,"Wine style (red, white, etc.), Wine region, Alcohol percentage, Price",,Few times a month,Few times a year,Agree,3,5 000 - 10 000,,,Always,Always,Taste,Often,Agree,
15/09/2022 09:23:59,31 - 45,,,3,"Wine style (red, white, etc.), Alcohol percentage, Price",,Few times a month,Few times a month,Agree,4,5 000 - 10 000,,,Rarely,Rarely,Taste,Rarely,Neutral,
15/09/2022 23:18:15,31 - 45,,,3,"Wine style (red, white, etc.), Wine region",,Few times a month,Few times a year,Disagree,2,5 000 - 10 000,,,Often,Always,Taste,Often,Strongly agree,
17/09/2022 20:30:29,31 - 45,Female,South Asia,3,"Wine style (red, white, etc.), Alcohol percentage, Price",Yes,Few times a month,Few times a month,Agree,5,Less than  5 000  (14 USD),No,,Always,Always,Price,Often,Agree,
17/09/2022 20:32:01,31 - 45,Female,South Asia,3,"Wine style (red, white, etc.), Alcohol percentage, Wine’s maturity (age), Price",No,Few times a year,Few times a year,Agree,5,Less than  5 000  (14 USD),No,,Often,Always,Alcohol percentage,Always,Agree,
17/09/2022 20:32:34,18 - 30,Male,South Asia,3,"Wine style (red, white, etc.), Alcohol percentage, Price",Yes,Few times a year,Few times a year,Agree,4,Less than  5 000  (14 USD),No,,Often,Often,Taste,Rarely,Agree,
17/09/2022 20:35:48,18 - 30,Female,South Asia,2,,No,Few times a year,Never,,,,,,,,,,,
17/09/2022 20:36:09,18 - 30,Male,Europe,2,"Wine style (red, white, etc.), Price, Packaging",Yes,Few times a year,Few times a year,Disagree,4,5 000 - 10 000 (14 USD - 28 USD),No,,Often,Often,Taste,Rarely,Strongly agree,
