"Timestamp","How old are you?","Gender","Where are you from?","How would you rate your knowledge on wine?","Do you like hard liquor ?","How often do you drink wine?","How many different wines have you tried so far?","How often do you purchase wine?","What are the factors you consider before purchasing wine ?","""I consider the alcohol percentage when choosing wine"" 
Do you agree with this statement?","How important is the price when choosing wine?","when you are purchasing  wine, how much do you like to spend per bottle? (prices are given in LKR and approximate USD values are given inside brackets)","Is there a particular wine region that you prefer ? ","Which wine regions do your favorite wines tend to come from ?","How often do you consider the characteristics of the wine such as sweetness, tannin, etc. before choosing  wine?","How often do you read the information on the bottle label before selecting a bottle of wine?","When you're purchasing wine, what is the most important factor that influence your purchase?","How often does your preference between the type of wine (Red, white, rose etc.) change based on the type of food you are eating.","""I would appreciate if someone recommend me a bottle of wine according to my preference""
Do you agree with this statement?"
"2022/09/14 11:44:21 pm GMT+5:30","46- 60","","","3","","Few times a year","","Few times a year","Wine style (red, white, etc.);Wine region;Alcohol percentage;Wine’s maturity (age);Price;Packaging","Strongly agree","4","10 000 - 15 000","","","Always","Always","Taste","Often","Agree"
"2022/09/15 12:16:18 am GMT+5:30","31 - 45","","","3","","Few times a month","","Never","Wine region","Disagree","3","5 000 - 10 000","","","Always","Always","Vintage","Always","Agree"
"2022/09/15 6:12:11 am GMT+5:30","46- 60","","","4","","Few times a month","","Few times a year","Wine style (red, white, etc.);Wine region;Alcohol percentage;Price","Agree","3","5 000 - 10 000","","","Always","Always","Taste","Often","Agree"
"2022/09/15 9:23:59 am GMT+5:30","31 - 45","","","3","","Few times a month","","Few times a month","Wine style (red, white, etc.);Alcohol percentage;Price","Agree","4","5 000 - 10 000","","","Rarely","Rarely","Taste","Rarely","Neutral"
"2022/09/15 11:18:14 pm GMT+5:30","31 - 45","","","3","","Few times a month","","Few times a year","Wine style (red, white, etc.);Wine region","Disagree","2","5 000 - 10 000","","","Often","Always","Taste","Often","Strongly agree"
"2022/09/17 8:30:29 pm GMT+5:30","31 - 45","Female","South Asia","3","Yes","Few times a month","","Few times a month","Wine style (red, white, etc.);Alcohol percentage;Price","Agree","5","Less than  5 000  (14 USD)","No","","Always","Always","Price","Often","Agree"
"2022/09/17 8:32:01 pm GMT+5:30","31 - 45","Female","South Asia","3","No","Few times a year","","Few times a year","Wine style (red, white, etc.);Alcohol percentage;Wine’s maturity (age);Price","Agree","5","Less than  5 000  (14 USD)","No","","Often","Always","Alcohol percentage","Always","Agree"
"2022/09/17 8:32:33 pm GMT+5:30","18 - 30","Male","South Asia","3","Yes","Few times a year","","Few times a year","Wine style (red, white, etc.);Alcohol percentage;Price","Agree","4","Less than  5 000  (14 USD)","No","","Often","Often","Taste","Rarely","Agree"
"2022/09/17 8:35:47 pm GMT+5:30","18 - 30","Female","South Asia","2","No","Few times a year","","Never","","","","","","","","","","",""
"2022/09/17 8:36:09 pm GMT+5:30","18 - 30","Male","Europe","2","Yes","Few times a year","","Few times a year","Wine style (red, white, etc.);Price;Packaging","Disagree","4","5 000 - 10 000 (14 USD - 28 USD)","No","","Often","Often","Taste","Rarely","Strongly agree"
